Issue Type,Epic Name,Epic Link,Summary,Description,Status,Contributor Type,Agent,Model,Cost Tier,Review Outcome,Category
Epic,"Data ingestion & storage",,"Data ingestion & storage","Ingests training data from Garmin (binary .FIT parsing + MTP device sync) and Strava (OAuth API, with cross-source duplicate detection), and body-composition data from Withings (OAuth API) — all stored in a single local SQLite database with a soft-delete/trash/purge model, so nothing is ever silently or permanently lost. Exists to be the single, privacy-preserving source of truth the rest of the app reads from.",Done,Human,,,,Accepted,Business Functionality
Epic,"Local REST API",,"Local REST API","A local-only HTTP API (port 3001) exposing activities, body measurements, sync triggers, settings, and the workout-classifier workflow to the frontend. Exists as the sole interface between the local database and the dashboard UI — nothing else talks to the database directly.",Done,Human,,,,Accepted,Technical Improvement
Epic,"Dashboard UI",,"Dashboard UI","A five-tab React dashboard (Overview & Trends, Activities, Body, Data & Sync, Settings) presenting training and body data together, including the training-km-vs-weight correlation view. Exists to make the ingested data actually usable day to day, without needing to open two separate vendor apps.",Done,Human,,,,Accepted,Business Functionality
Epic,"AI-assisted workout classification",,"AI-assisted workout classification","Classifies running activities into six categories (Recovery Run, Long Session, Repeats/Intervals, Progressive Run, Fartlek, Tapasciata) via either a local LLM (Ollama) or a deterministic statistical method, with a human review/approve/correct workflow before either result is treated as ground truth. Exists to save the manual effort of labeling every run's training intent by hand, while keeping a human in the loop and never sending data off-device.",Done,Human,,,,Accepted,Business Functionality
Story,,"Data ingestion & storage","Binary .FIT file parser","From-scratch decoder for Garmin's binary .FIT format (session summaries + per-second track points + developer-field extensions), cross-validated on import against a second independent parser as a sanity check only. Exists because no maintained vendor SDK covers this without a cloud dependency.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Technical Improvement
Story,,"Data ingestion & storage","Garmin activity sync (MTP bridge)","Copies new .FIT files off the watch via a PowerShell/MTP bridge, parses them, and imports them into SQLite; archives raw files permanently. Exists to get training data off the device without Garmin Connect / any cloud round-trip.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"Data ingestion & storage","Withings OAuth2 authentication","In-app popup and standalone-CLI OAuth2 flows for connecting a Withings account, with automatic token refresh. Exists so body-composition data can be pulled without hosting a public OAuth callback server.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"Data ingestion & storage","Withings measurement sync","Incremental fetch of weight/fat%/muscle mass/hydration/bone mass/BMI/HR measurements into SQLite. Exists to bring body-composition history into the same local store as training data.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"Data ingestion & storage","Strava OAuth2 authentication + sync","OAuth2 flow (with rotating refresh tokens) plus activity + GPS/HR stream sync, including cross-source duplicate detection against existing Garmin activities. Exists as a second training-data source for activities not captured by the watch/MTP path, without double-counting activities Garmin already uploaded to Strava.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Business Functionality
Story,,"Data ingestion & storage","SQLite schema with soft-delete/trash/purge","Local database schema for activities, track points, and body measurements, with a two-stage delete model (trash → restore, or purge → permanent) instead of hard deletes. Exists to make ""delete"" a safe, reversible local action, matching the app's privacy-first, no-cloud-backup design.",Done,Hybrid,"Claude chat","claude-sonnet-5",Low,Accepted,Technical Improvement
